id,label
2790,1.90076e-09
5359,4.30161e-05
5604,1.0
4440,5.95442e-07
7475,1.0
9173,0.360176
8451,7.31512e-08
3018,1.0
123,0.000559813
2774,1.0
3169,2.62561e-08
5334,1.82761e-09
7675,3.87995e-14
6797,1.0
368,1.0
1054,1.0
163,2.93652e-10
11068,2.88064e-07
7225,9.43939e-08
2913,1.0
7328,1.0
7363,4.20476e-08
226,1.0
8537,3.1354e-05
8468,1.2169e-12
11559,1.52883e-13
2773,0.000300136
9398,1.0
4048,1.52361e-09
3043,0.999998
6565,2.0015e-12
9412,6.46015e-09
2948,1.0
1443,0.999997
126,0.966406
5607,0.999991
9784,0.997831
1300,3.24178e-13
9666,6.67872e-10
5448,1.0
7386,1.69055e-09
7934,1.0
3294,1.0
3425,1.0
6256,2.32665e-07
7311,3.46343e-07
375,0.99995
6322,0.996725
4262,0.0138015
3876,3.22056e-10
10659,1.0
2624,1.0
11511,1.28322e-07
12442,6.58269e-12
7553,1.0
5728,9.64651e-10
11274,1.0
5328,1.0
2333,1.0
10399,1.0
8694,1.0
6366,0.0161397
10658,1.0
11156,3.87611e-09
5045,1.0
4815,1.0
2005,0.999417
3548,3.44468e-09
5166,0.889416
3303,1.0
11694,1.0
5990,0.754785
8057,1.0
3352,7.59693e-08
9985,1.0
11311,1.0
10228,4.1152e-05
10016,3.73768e-05
3569,1.0
7096,0.999995
5751,1.0
10614,1.99754e-08
6200,1.0
6333,1.15318e-11
2294,0.999612
75,0.326962
1647,1.0
11084,1.0
3348,3.83896e-08
11335,1.0
5867,7.32232e-10
8940,0.999998
11619,2.23572e-08
9888,7.10117e-08
1423,0.00725275
5276,1.0
1605,0.969591
4833,1.77208e-07
1091,0.998227
4352,1.0
4119,2.13611e-12
10437,5.37761e-09
4831,0.00130258
7098,0.999998
1876,1.0
1728,1.0
4879,0.999996
5512,0.999998
7236,5.64812e-07
7015,1.24684e-11
7923,0.999991
6048,1.50623e-12
5230,0.000205275
6922,4.04612e-06
1918,8.3134e-10
2723,1.06733e-07
2621,1.70769e-12
11295,2.18746e-11
3117,0.999999
9498,0.237027
10911,0.999996
7513,4.72477e-08
3535,1.0
9590,0.000300846
5964,8.64618e-08
8213,0.999994
6793,0.000221423
7763,7.11306e-11
7081,1.0
11915,1.0
817,1.21988e-07
7545,0.997593
11807,2.53491e-10
9530,1.0
9857,4.04376e-08
2883,7.40763e-07
9745,3.44692e-12
10443,0.999914
704,2.52707e-07
6102,2.52647e-07
4016,1.30319e-05
11585,1.0
682,1.76487e-10
6652,1.0
7309,0.999999
7520,1.0
6347,0.827081
2497,5.01512e-09
354,0.999822
9751,0.999998
8686,0.00219441
8048,0.000204856
1511,7.0287e-09
7993,0.999972
3174,1.117e-05
445,1.61433e-08
5660,1.0
402,8.13393e-11
2306,1.0
868,2.58276e-07
686,0.999999
9193,1.0
12162,1.16168e-05
2059,1.0
11640,1.0
10003,0.999995
5752,1.0
666,1.92729e-07
6225,1.0
4534,4.96044e-06
8874,0.00032171
8469,1.13516e-09
859,1.14962e-08
4180,0.999989
2862,0.997354
6397,0.99925
4422,1.0
6416,3.80313e-14
11291,2.19512e-09
1878,1.0
10306,1.0
2075,2.81583e-09
2893,1.08255e-06
2957,5.72796e-10
4222,9.43354e-05
7195,1.0
11613,0.999996
189,0.000241749
2934,1.02832e-08
4014,1.29868e-08
3486,0.999999
6534,2.05166e-13
8346,0.999954
678,0.0507465
11992,0.0119279
260,3.06566e-08
1532,1.36413e-06
9021,1.0
5393,0.999999
10739,0.999787
5949,1.31142e-09
5960,8.47989e-10
1298,0.00472023
1436,1.0
2357,0.999984
3789,1.0
6177,1.0
3435,1.0
544,0.00584686
7362,7.19182e-11
5103,3.98856e-10
5540,1.17355e-12
8253,1.69393e-09
10166,1.0
903,0.999035
5229,9.46528e-08
1219,1.0
7759,5.12524e-12
11088,8.50519e-08
8363,1.28052e-07
558,1.0
11238,1.0
11998,1.0
7300,1.0
9103,6.389e-08
2877,1.0
1929,5.66552e-09
2541,1.0
6575,2.52603e-12
3728,2.76652e-11
2225,1.453e-06
10873,9.91698e-12
6698,2.3897e-08
9703,0.999994
9045,0.999997
5472,3.89469e-08
2078,1.0
11381,2.75055e-13
7378,0.995462
3259,0.000342999
883,0.999999
11877,0.999996
4577,1.0
12309,8.09171e-10
8004,3.6868e-12
1291,3.66984e-07
9457,6.30598e-06
9699,1.0
6110,1.00545e-12
5766,0.970501
2941,2.84996e-09
9360,1.0
4257,1.0
3404,2.28305e-11
7706,0.994551
435,1.0
8998,0.999997
11897,1.0
12197,5.02116e-07
374,1.42085e-06
9224,1.0
5678,1.9562e-13
10288,1.67369e-09
10463,5.71507e-09
10237,3.18896e-09
5797,7.14701e-07
10965,5.00109e-09
688,1.0
5082,1.40048e-10
2246,1.0
3500,0.999803
3451,7.71303e-09
327,0.999961
11143,1.0
8325,1.0
6566,1.0
12186,1.0
9081,1.00651e-08
6171,1.57466e-07
4638,2.75329e-08
9639,1.0
5418,1.0
9849,1.0
10834,0.00360905
4128,2.67526e-11
5801,0.999194
8833,3.20417e-06
9091,0.000165958
3177,1.44935e-08
12350,1.0
5838,8.55012e-10
8954,2.19399e-07
11587,7.49861e-14
8525,8.06569e-07
9664,1.0
10785,1.0
3087,2.99861e-07
3212,1.0
8944,0.999997
6147,2.36832e-08
9321,0.999941
11168,0.000182245
1288,1.58178e-08
9424,1.0
8529,5.39645e-09
10173,4.64371e-13
12035,0.999909
3751,1.0
7216,1.92829e-08
9678,1.0
11578,1.62746e-10
10857,1.0
6274,1.64603e-10
6061,1.0
11249,0.999999
9182,0.000182467
845,1.0
10005,2.4728e-09
6060,1.45163e-07
4000,3.24354e-10
11000,0.471186
7766,1.0
6253,1.0
9848,6.27347e-10
4021,1.0
9086,1.0
11923,1.0
10379,1.0
3551,6.40541e-09
7313,2.2996e-11
7127,0.999976
10526,0.999989
8721,1.0
12098,1.0
11824,2.40395e-07
210,6.92975e-11
4876,0.554077
12221,3.28982e-12
8139,1.0
9974,6.08216e-12
7385,6.50451e-08
10347,0.00342199
129,3.99721e-11
4099,1.0
10519,1.81963e-08
8290,2.93701e-10
11286,1.0
6055,1.0
1228,9.16087e-07
8328,6.63932e-07
5843,1.0
4029,2.42916e-09
7497,7.98096e-11
10635,1.11707e-07
2876,1.0
12097,2.06548e-08
9414,1.0
4451,1.0
6742,1.0
4647,1.0
4334,0.999998
11667,2.81764e-07
2683,0.999999
4254,1.63669e-12
1662,1.0
10461,3.0468e-13
6280,1.0
1240,3.06946e-07
6430,2.18205e-13
7690,1.21161e-08
4082,0.999984
7427,1.0
9765,0.999999
9402,1.0
7008,0.999988
8988,7.86604e-07
1720,0.999978
957,1.0
8250,4.39364e-05
2115,0.0213828
5312,2.64771e-09
6021,1.22703e-07
8179,2.89368e-10
6137,0.999994
42,1.0
3372,1.0
613,2.53859e-07
658,1.0
10552,1.80614e-09
11444,5.14243e-13
10029,0.999999
12316,1.0
4919,0.999974
3778,1.0
5319,2.82286e-07
7211,6.1301e-11
4564,1.0
6077,9.15054e-05
4630,0.93592
816,0.999994
10703,0.0475382
7240,3.89453e-14
8242,0.999996
1278,6.55494e-07
5490,1.0
6196,2.05617e-06
8336,2.39748e-11
1136,1.0
12009,0.999975
5250,6.10006e-10
11773,1.0
5106,8.38459e-08
11842,9.91287e-09
6,5.96476e-10
6269,7.10826e-09
4750,1.0
972,1.0
8310,1.0
8419,1.0
5006,2.30845e-13
11864,3.31066e-08
3940,1.0
10697,1.0
12411,0.999999
11941,1.0
11759,0.999997
6935,2.03751e-11
9721,4.33616e-14
10770,1.0
11575,0.999994
6539,1.0
759,2.57285e-08
6877,3.06899e-12
6570,3.74488e-11
5902,4.30418e-10
9969,1.0
6331,1.0
5429,3.88217e-09
7383,1.60449e-07
11452,0.998887
6598,5.13705e-07
11466,1.13285e-09
5488,1.0
6636,1.0
11194,0.937947
8192,1.68063e-11
4238,0.999443
956,1.0
12311,1.0
8301,1.0
7792,1.8104e-09
3079,4.43553e-11
562,1.46067e-08
6556,0.999998
5391,1.0
11918,1.0
1915,0.999814
8845,6.20009e-13
7210,3.66771e-07
5565,0.999999
10738,0.999999
11398,1.0
3625,0.983685
12051,0.999999
11527,1.0
2171,1.0
1117,9.4606e-09
5322,0.999991
3550,0.999998
10281,1.0
5400,1.0
11742,3.61687e-12
1151,1.0
4032,1.0
1614,7.83092e-05
1660,7.86103e-05
7846,0.882248
2989,2.16828e-11
5881,0.99999
2570,1.0
5313,0.963503
5182,1.73367e-09
11087,9.97234e-09
8798,9.86037e-09
7774,1.0
4997,2.71027e-10
2205,3.27645e-14
8116,3.05775e-11
6919,2.1616e-08
9249,1.0
6064,0.999999
12178,0.999959
4786,0.999974
6527,0.999688
7256,0.999999
9645,0.999944
7729,0.00113095
10920,0.999953
5092,1.0
8095,1.0
4619,0.0858558
7069,1.0
7331,1.09978e-08
11764,1.0
3437,0.999988
83,1.0
4170,1.0
4130,1.0
4834,1.0
831,1.49705e-11
10713,1.26056e-09
11141,1.0
5010,1.32563e-06
3517,7.21746e-08
4204,2.12676e-15
1406,8.26087e-09
